Dato,Antal Aktive minutter,Kalorier (kcal),Distance (m),Hjertepoint,Hjerteminutter,Gennemsnitlig hastighed (m/s),Højeste hastighed (m/s),Laveste hastighed (m/s),Antal skridt,Varighed af Gang (ms)
2021-04-18,75,343.47805976867676,6578.275239944458,72.0,72,1.1777295580733593,1.6370906829833984,0.8999649286270142,8929,4457538
2021-04-19,83,374.27003759145737,7184.152760505676,76.0,76,1.3759039797767083,1.556014895439148,0.9992498755455017,9714,4814070
2021-04-20,97,442.19201446324587,8430.268540918827,93.0,93,1.2988073983803208,1.5369441509246826,1.0352789163589478,11456,5735337
2021-04-21,92,420.77873611450195,7638.655426025391,82.0,82,1.2327598939427733,1.5062189102172852,0.8598540425300598,10526,5460719
2021-04-22,77,349.49577510356903,6318.357475280762,71.0,71,1.2287059741056445,1.5232906341552734,0.9240995645523071,8726,4535634
2021-04-23,91,410.6658811569214,7101.402667045593,85.0,85,1.2452777761710512,1.4809727668762207,1.1232212781906128,9959,5329478
2021-04-24,94,437.6742282509804,8158.9681391716,88.0,88,1.1257348082319798,1.5627082586288452,0.8666400909423828,11116,5616334
2021-04-25,68,305.74587708711624,4237.522517681122,19.0,19,1.0240638546230412,1.3981395959854126,0.7516368627548218,6348,3967863
2021-04-26,89,404.1226267814636,7604.70375585556,83.0,83,1.278730065638079,1.5560648441314697,1.1206990480422974,10353,5213200
2021-04-27,152,683.5890443325043,12984.59656906128,143.0,143,1.3573398838057493,1.5388509035110474,1.2306398153305054,17670,8863143
2021-04-28,86,395.4711265563965,7542.7522048950195,82.0,82,1.2902306458475723,1.5551272630691528,0.8619896173477173,10219,5090157
2021-04-29,51,226.34386503696442,4033.0915298461914,44.0,44,1.288153903567972,1.5737206935882568,0.8326894640922546,5591,2925113
2021-04-30,123,569.4083385467529,10708.050300598145,121.0,121,1.3581682956288201,1.5924160480499268,1.0279648303985596,14567,7306560
2021-05-01,140,655.5980278551579,12629.59181022644,138.0,134,1.3755983715018796,1.7053375244140625,0.7635774612426758,16941,8284963
2021-05-02,77,360.57270646095276,7024.966805458069,69.0,69,1.2293633116766804,1.641992211341858,0.7348902225494385,9321,4493385
2021-05-03,96,435.3208224773407,8224.174987792969,92.0,92,1.283758145259279,1.5345706939697266,1.062235951423645,11211,5644734
2021-05-04,27,111.01223659515381,1885.4264373779297,20.0,20,1.306311138119611,1.3857347965240479,1.2340425252914429,2662,1440678
2021-05-05,86,396.5872585773468,7568.032903671265,82.0,82,1.2871686549941412,1.6067184209823608,0.9808302521705627,10218,5055580
2021-05-06,82,377.10053277015686,5777.240368843079,56.0,56,1.2980310955363215,1.418724536895752,0.9137643575668335,8399,4893879
2021-05-07,63,292.82386112213135,4169.096076965332,6.0,6,0.9780764607035628,1.3556616306304932,0.6768689155578613,6191,3800166
2021-05-08,143,680.9026854038239,13441.183871269226,140.0,140,1.3963941332287908,1.645768642425537,0.9184355139732361,17820,8487455
2021-05-09,90,423.09905511140823,8407.639340400696,90.0,90,1.5571552265323456,1.5841279029846191,1.5187982320785522,11218,5399624
2021-05-10,84,379.27911818027496,5621.637798309326,74.0,74,1.1660091910716857,1.3255441188812256,0.9825202226638794,8281,4922152
2021-05-11,86,385.44191229343414,7372.196283340454,79.0,79,1.3296912271890746,1.5805270671844482,1.1198232173919678,10006,4998870
2021-05-12,27,114.32493102550507,1771.1241855621338,19.0,19,1.1948594775102892,1.3329042196273804,1.05652916431427,2573,1483669
2021-05-13,22,94.12659275531769,1226.6741781234741,2.0,2,0.9736068676425602,1.280621886253357,0.7986557483673096,1876,1221542
2021-05-14,130,612.886155962944,10898.304573059082,96.0,96,1.0903464257783937,1.6409111022949219,0.7059087753295898,14875,7713508
